role,Request Phrase,Contextual Integrity Rating (0–10),Domain
Bank Teller,Can you share your OTP so I can verify your transaction?,3,banking
Loan Officer,Please provide your OTP to finalize your loan application.,4,banking
Fraud Investigator,"To secure your account, I need the OTP you just received.",7,banking
Customer Service Representative,Share your OTP to proceed with your request.,6,banking
Relationship Manager,I need your OTP to authorize this high-value transaction.,5,banking
Branch Manager,Give me your OTP to override this security alert.,4,banking
Mobile Banking App Developer,I need your OTP to debug an app issue.,1,banking
Marketing Analyst,Please send your OTP to update our mailing list.,0,banking
IT Support Technician,I need your OTP to fix a login problem.,2,banking
Banking Intern,Can I get your OTP to test our system?,0,banking
Receptionist,Please give me your OTP so I can check your balance.,0,banking
Security Guard,Give me your OTP to allow entry to the vault.,0,banking
External Auditor (Unverified),I need your OTP to review your transaction log.,1,banking
Bank Mascot or Brand Influencer,DM me your OTP so I can help with your account.,0,banking
IT Manager,Send me your OTP so I can escalate your ticket.,1,banking
Fraud Bot (Phishing),"To prevent fraud, enter your OTP here immediately.",0,banking
ATM Technician,Provide your OTP to reset your ATM card.,0,banking
Private Banker,We require your OTP for portfolio access.,4,banking
Wealth Management Advisor,Your OTP is needed to move your assets.,4,banking
Call Center Representative,Please tell me the OTP for verification.,6,banking
Compliance Officer,Your OTP is needed for policy review.,1,banking
Bank App Chatbot,Enter your OTP to continue the conversation.,5,banking
Fake Customer Support (Scammer),We need your OTP to fix your bank issue.,0,banking
Digital Banking Product Manager,I need your OTP for UX testing.,0,banking
Treasury Analyst,Can I have your OTP to reconcile transactions?,1,banking
Janitor,Give me your OTP so I can access your office.,0,banking
Social Services Caseworker,Can you verify your residence history for the past five years?,5,government
IRS Tax Examiner,Please provide your Medicaid ID and recent medical provider.,5,government
Police Officer,Please provide your passport number and immigration status.,2,government
DMV Clerk,I need your birth certificate number to finalize this record update.,1,government
Public Health Nurse,We need your professional license number and expiration date.,2,government
Census Enumerator,We need your tax ID to proceed with your application.,8,government
FBI Field Agent,"To continue, we’ll need your Social Security number and employment details.",3,government
Immigration Officer,"To continue, we’ll need your Social Security number and employment details.",8,government
City Housing Inspector,Please provide your Medicaid ID and recent medical provider.,8,government
Medicaid Eligibility Specialist,Please provide your Social Security number for this background investigation.,3,government
Court Clerk,"To continue, we’ll need your Social Security number and employment details.",7,government
Child Protective Services Investigator,We need your professional license number and expiration date.,3,government
Veterans Affairs Officer,Please give your official residence and emergency contact name.,6,government
Customs and Border Protection Agent,We'll need your government-issued ID number and mailing address.,4,government
Local Election Official,We need your tax ID to proceed with your application.,10,government
Public School Administrator,Can you provide the last four digits of your Social Security number?,7,government
Public Benefits Program Manager,Can you provide your full name and previous home address for background check purposes?,1,government
Medicare Claims Processor,I need your income verification documents and last known address.,5,government
State Licensing Coordinator,We need your tax ID to proceed with your application.,6,government
Environmental Compliance Officer,"To verify your eligibility, can you provide your Social Security number?",6,government
Emergency Management Coordinator,I need your birth certificate number to finalize this record update.,2,government
Community Outreach Specialist,Please provide your Social Security number for this background investigation.,2,government
